,game_id,red_win,total_moves
329,9ZROLV,1.0,44
330,6oZjVJ,1.0,57
331,GE6OmN,1.0,55
332,3gB9bd,0.0,64
333,4a6RQn,1.0,77
334,oOE90Y,1.0,55
335,noeOYl,0.0,58
336,XKRN0K,0.5,100
337,anROLB,1.0,83
338,Ak9ww4,0.0,82
339,2mJmm3,0.0,68
340,bQRmQ3,0.0,106
341,5ob4qO,1.0,185
342,ROJLva,1.0,69
343,MN2krJ,0.0,68
344,5obv1p,0.0,46
345,zw5JYG,0.0,60
346,1o5AQg,1.0,45
347,VOW44P,0.0,134
348,mN2gka,0.5,101
349,dP1RGj,0.0,98
350,3g2NRP,0.5,100
351,BNYrvK,0.5,38
352,KN5lKM,1.0,38
353,YO1mno,1.0,59
354,rRzpqA,0.0,47
355,krJJn9,0.0,144
356,bQG3Y9,1.0,201
357,YO1bK4,1.0,97
358,KN5y9j,0.0,98
359,vRzgOO,0.0,42
360,6o6REb,1.0,33
361,dP3pdz,0.0,64
362,mNkMYa,0.0,44
363,9ZaBKG,0.0,62
364,3g2kK3,0.0,59
365,0aPQkp,0.5,75
366,vRzBmO,1.0,87
367,anGAKY,0.0,89
368,4a45Pe,1.0,69
369,qRn935,0.0,212
370,Wwr60B,1.0,53
371,OWGQQw,1.0,55
372,rRGnkB,0.0,52
373,GEzJgn,1.0,41
374,QEL4Yl,0.0,86
375,NRQkBw,0.0,72
376,OWPXQG,0.5,71
377,NRGgaP,0.0,5
378,LwnJWO,1.0,51
379,qRQ6bQ,1.0,67
380,qRX0yl,0.0,43
381,noaybR,1.0,47
382,ElZGy0,1.0,45
383,JKZRkM,0.0,43
384,ElZzAy,1.0,28
385,mNJZg3,0.0,50
386,mNJelp,0.0,38
387,WwmlqA,0.0,78
388,5oEJOp,0.5,209
389,2mOb2v,1.0,13
390,bQgEaB,1.0,57
391,MNKMV2,0.0,74
392,QEWMJY,0.0,70
393,bQL2qM,1.0,67
394,qRBZ0W,0.0,34
395,ROgZM5,1.0,89
396,noLWeJ,0.0,110
397,vRVNzE,0.0,43
398,noLMzl,0.0,126
399,0aOvLZ,0.0,76
400,Wwgeqy,1.0,71
401,GEEPdL,0.0,10
402,lRR1qE,0.0,40
403,OWV6WE,1.0,85
404,qRB3EQ,0.5,79
405,QEkJzY,0.5,109
406,GEEzNa,1.0,52
407,PNN3AX,1.0,90
408,VONyer,0.0,76
409,GEl9mP,1.0,108
410,GEnaGa,0.0,65
411,kr3M3q,1.0,71
412,LwLja2,0.5,61
413,El469r,1.0,143
414,9Zdvgl,1.0,69
415,PNV5P9,1.0,58
416,pw4PmW,1.0,19
417,noJ3LK,1.0,44
418,KNybok,0.0,96
419,mNrwaA,1.0,83
420,oOyvl3,0.0,32
421,1ob10Q,1.0,40
422,yMBQEA,0.5,83
423,XK9KLr,0.5,157
424,RO9OM5,0.5,107
425,BNwzza,0.5,29
426,ElwYZP,1.0,230
427,zw6j5o,0.5,66
428,mNEz6Z,1.0,83
429,9ZwvjP,0.0,149
430,oOyB0q,1.0,97
431,3gWa5d,0.5,126
432,bQPVpb,0.0,233
433,lRkgN9,1.0,75
434,pwvyR4,0.5,77
435,GEqAWY,0.5,96
436,Akwzk5,0.5,72
437,0a2OAp,0.5,43
438,rRQkwB,1.0,184
439,XK9BVL,0.5,82
440,GE4EkN,0.5,159
441,pwvQ4X,0.5,51
442,zw3XE6,0.0,175
443,vRnzjj,0.5,84
444,9Zdwjm,0.5,68
445,JKa9qa,0.0,90
446,0aWVvE,1.0,129
447,9ZRPo9,1.0,89
448,anmMOY,1.0,49
449,yMjN0J,0.0,54
450,rRrnPl,0.0,112
451,mNLMKW,1.0,50
452,yMjN1R,0.0,122
453,GE6QRP,1.0,63
454,6oZbXy,0.5,105
455,OWj6Mm,0.0,69
456,qR5m5l,0.0,78
457,vRE4qj,1.0,61
458,zwpVYQ,0.0,192
459,5o4mjO,1.0,55
460,KNkr4j,1.0,67
461,no2Pyl,0.5,97
462,VO6n0O,1.0,101
463,BN35gl,0.5,118
464,pwBe42,1.0,95
465,3gWXed,0.0,46
466,e32X33,0.0,34
467,Lw9dra,0.0,58
468,4a4vVW,0.0,140
469,NRApPw,0.0,56
470,ZOZgZl,0.5,75
471,GEqJOY,1.0,67
472,oO1lzw,0.0,27
473,g2m6yO,0.0,64
474,0aXg4E,0.0,230
475,2mB9Mo,0.0,46
476,OWlWNg,0.5,75
477,OWlWqK,1.0,33
478,bQvGgE,0.0,60
479,YOavg4,0.0,68
480,0abP3R,0.5,246
481,6ovL59,0.0,156
482,qR9oON,0.5,120
483,JKKzya,1.0,127
484,Ellzeb,0.0,108
485,dPP9No,1.0,163
486,9ZZb2l,0.5,32
487,4aavON,0.0,38
488,Lwwg62,0.0,96
489,zwwB4r,1.0,97
490,VOORVr,1.0,63
491,9ZWQBm,0.0,64
492,anqKMy,1.0,65
493,XKmklr,0.0,46
494,e3Ky43,0.5,106
495,j6K6do,0.0,28
496,PNNddO,0.0,120
497,PNkbgA,1.0,257
498,anqk4V,1.0,87
499,NRWVKE,0.0,74
500,YOEXar,1.0,77
501,NRLm2P,0.0,106
502,2mdXQJ,1.0,47
503,yMXZoO,1.0,131
504,JK5jZ2,1.0,79
505,e3lvm3,0.0,70
506,AkAdBV,1.0,43
507,g21QM5,0.5,211
508,w5jz4K,1.0,55
509,oOEBOK,0.5,123
510,BN0N5a,0.0,31
511,MN3200,0.5,60
512,krEMdX,1.0,71
513,zwjNJL,0.5,184
514,BNnYyg,1.0,83
515,LwrOzm,1.0,59
516,qRw29K,0.0,66
517,2m32LE,0.0,72
518,ROzbw5,0.0,74
519,g2mBPO,0.5,127
520,KN61OE,1.0,99
521,3g6WWQ,0.5,170
522,2mBp65,0.5,167
523,NRloVL,0.5,49
524,4argqZ,0.5,83
525,0a2Rwr,0.0,38
526,no4MZd,1.0,8
527,mNogBW,1.0,224
528,bQqE3M,0.5,84
529,pw9QWa,0.5,58
530,lRN4ZO,0.5,60
531,QEdlVV,0.5,63
532,bQaaqM,1.0,175
533,6oaedJ,0.5,87
534,NRaaKE,1.0,78
535,Ak56KE,0.0,132
536,lRAEQE,1.0,207
537,ElPKwb,1.0,47
538,YOPPno,0.5,87
539,VOnn4o,0.5,85
540,zw0pXB,0.5,120
541,pw4BjR,0.5,175
542,e3dd1e,0.5,85
543,4a2Paa,1.0,235
544,ZO3bOY,0.5,52
545,pw4yKR,0.0,44
546,AkP045,0.0,141
547,yMjLew,0.5,66
548,4abnEa,1.0,52
549,AkrWwV,0.0,40
550,vREd12,0.5,93
551,w5WXNX,0.0,30
552,XK0zNy,0.0,52
553,NRrjry,0.0,58
554,AkWOEb,0.0,130
555,oOpnwV,0.0,62
556,MNVrWr,0.0,214
557,krZVbW,0.0,58
558,w5wZdA,0.0,51
559,WwJqNq,0.0,114
560,pwdg62,0.0,59
561,5okk5E,0.0,34
562,XKq1eW,0.5,25
563,anAGbV,0.0,66
564,ZOAAa2,0.0,62
565,3gm29O,0.0,54
566,QE26Kl,0.0,95
567,YOAlKV,0.0,32
568,QEqqRO,0.5,53
569,qRdbzQ,0.0,122
